81 3
 54 157 141 
 25 166 125 
 39  48  58 
 45  56 128 
 81 171 144 
156  95 166 
 70 194 134 
126 162  32 
13 106 179 
 63 133 172 
112 125 142 
129 190  74 
141  70 177 
 32 123  21 
 74  98  12 
 56 109  75 
174  70  15 
155 187  48 
187 189 129 
 46 116 164 
150  26  72 
112 166 189 
 84 102 172 
 21  74 153 
108 188 156 
 34 185 189 
158  33  65 
 81 185 155 
 44 150  35 
116   9   9 
178  34  93 
 20  14   4 
165  66 128 
 75  69 160 
105 190  66 
 86  96  55 
112 133  25 
153  16 186 
140  62 143 
170 172 141 
104  45 161 
 96 159  25 
117 117 162 
106 143   9 
 56  51 104 
 38 114  90 
178 168 189 
187  78  15 
116  57 185 
 27 171  94 
 56  26 147 
134 146  75 
116 187 136 
146  84  68 
 21   8 159 
150 133 154 
186 171 161 
  6  56 189 
195  10 160 
185 123 165 
 30 115  20 
 24  75 164 
102  56 132 
 22 198  75 
 62 176 144 
158  22  91 
119 166 134 
 46 188 102 
 46 108 153 
 42 126 190 
 90  54  87 
 77 132 170 
102  70 106 
154 170 182 
168  81 147 
 95 186 182 
 96 186 130 
  9  24 138 
 12 121  99 
161 196 156 
147 141 141 
